045e,EM_GETTEXTEX
045f,EM_GETTEXTLENGTHEX
0460,EM_SHOWSCROLLBAR
0461,EM_SETTEXTEX
0463,TAPI_REPLY
0464,ACM_OPENA
0464,BFFM_SETSTATUSTEXTA
0464,CDM_FIRST
0464,CDM_GETSPEC
0464,EM_SETPUNCTUATION
0464,IPM_CLEARADDRESS
0464,WM_CAP_UNICODE_START
0465,ACM_PLAY
0465,BFFM_ENABLEOK
0465,CDM_GETFILEPATH
0465,EM_GETPUNCTUATION
0465,IPM_SETADDRESS
0465,PSM_SETCURSEL
0465,UDM_SETRANGE
0465,WM_CHOOSEFONT_SETLOGFONT
0466,ACM_STOP
0466,BFFM_SETSELECTIONA
0466,CDM_GETFOLDERPATH
0466,EM_SETWORDWRAPMODE
0466,IPM_GETADDRESS
0466,PSM_REMOVEPAGE
0466,UDM_GETRANGE
0466,WM_CAP_SET_CALLBACK_ERRORW
0466,WM_CHOOSEFONT_SETFLAGS
0467,ACM_OPENW
0467,BFFM_SETSELECTIONW
0467,CDM_GETFOLDERIDLIST
0467,EM_GETWORDWRAPMODE
0467,IPM_SETRANGE
0467,PSM_ADDPAGE
0467,UDM_SETPOS
0467,WM_CAP_SET_CALLBACK_STATUSW
0468,BFFM_SETSTATUSTEXTW
0468,CDM_SETCONTROLTEXT
0468,EM_SETIMECOLOR
0468,IPM_SETFOCUS
0468,PSM_CHANGED
0468,UDM_GETPOS
0469,CDM_HIDECONTROL
0469,EM_GETIMECOLOR
0469,IPM_ISBLANK
0469,PSM_RESTARTWINDOWS
0469,UDM_SETBUDDY
046a,CDM_SETDEFEXT
046a,EM_SETIMEOPTIONS
046a,PSM_REBOOTSYSTEM
046a,UDM_GETBUDDY
046b,EM_GETIMEOPTIONS
046b,PSM_CANCELTOCLOSE
046b,UDM_SETACCEL
046c,EM_CONVPOSITION
046c,EM_CONVPOSITION
046c,PSM_QUERYSIBLINGS
046c,UDM_GETACCEL
046d,MCIWNDM_GETZOOM
046d,PSM_UNCHANGED
046d,UDM_SETBASE
046e,PSM_APPLY
046e,UDM_GETBASE
046f,PSM_SETTITLEA
046f,UDM_SETRANGE32
0470,PSM_SETWIZBUTTONS
0470,UDM_GETRANGE32
0470,WM_CAP_DRIVER_GET_NAMEW
0471,PSM_PRESSBUTTON
0471,UDM_SETPOS32
0471,WM_CAP_DRIVER_GET_VERSIONW
0472,PSM_SETCURSELID
0472,UDM_GETPOS32
0473,PSM_SETFINISHTEXTA
0474,PSM_GETTABCONTROL
0475,PSM_ISDIALOGMESSAGE
0476,MCIWNDM_REALIZE
0476,PSM_GETCURRENTPAGEHWND
0477,MCIWNDM_SETTIMEFORMATA
0477,PSM_INSERTPAGE
0478,EM_SETLANGOPTIONS
0478,MCIWNDM_GETTIMEFORMATA
0478,PSM_SETTITLEW
0478,WM_CAP_FILE_SET_CAPTURE_FILEW
0479,EM_GETLANGOPTIONS
0479,MCIWNDM_VALIDATEMEDIA
